id,colour,size
PN8826,"Dusk,","Medium,Large,XLarge,"
PN8828,"Black Short Leg,Black Reg Leg,Black Long Leg,","Small,Medium,Large,XLarge,XXLarge,"
PN8830,"Blue Aster Marl,Dusk Marl,","Small,Medium,Large,"
PN8831,"Walnut 32 Leg,","32 Waist,34 Waist,36 Waist,38 Waist,"
PN8832,"Coal 32 Leg,","30 Waist,32 Waist,34 Waist,"
PN8833,"Tarmac,","32 Waist,34 Waist,36 Waist,"
PN8834,"Blue Aster,Off Width Blue,","32 Waist,34 Waist,36 Waist,38 Waist,"
PN8835,"Carbon,","Medium,Large,XLarge,"
PN8837,"Parakeet/Bluatic,Big Orange/Spray,","Size 10,Size 12,Size 14,"
PN8838,"Whisper White,Ultra Violet,","Size 10,Size 12,Size 14,"
PN8839,"Blue Black,Cherry Ripe,","Size 10,Size 12,Size 14,"
PN8840,"Black,Intense Blue,Poplar Green,","Small,Medium,Large,XLarge,"
PN8841,"Black,Mood Indigo,Carbon,","Small,Medium,Large,Xlarge,"
PN8842,"Grey Marl,Twilight Blue,","Small,Medium,Large,XLarge,"
PN8843,"Blue Black,Spray,Poppy Red,","Size 10,Size 12,Size 14,Size 16,"
PN8844,"Whisper White,Ultra Violet,Provence,","Size 10,Size 12,Size 14,"
PN8845,"Pure White/Slate,Intense Blue/Twilight,","Small,Medium,Large,XLarge,"
PN8846,"Intense Blue/Twilight,Slate Stone,","Medium,Large,XLarge,"
PN8847,"Dusk/ExtremeRed,","Small,Medium,Large,Xlarge,"
PN8848,"Slate Stone/Black,","Small,Medium,Large,XLarge,XXLarge,"
PN8850,"Carbone/Red,Spring Green/Carbon,","Medium,Large,XLarge,"
PN8851,"Intense Blue,Black/Carbon,","Medium,Large,XLarge,"
PN8852,"Mood Indigo,Intense Blue,Extrem Red/Carbon,Black/Carbon,Carbon/Extreme Red,Off Width Blue,Spring Green/Carbon,","Small,Medium,Large,XLarge,XXLarge,"
PN8853,"Magenta,Evening Blue,","Size 10,Size 12,Size 14,"
PN8854,"Evening Blue,Maui Blue,","Size 10,Size 12,Size 14,Size 16,"
PN8855,"Off Width Blue Stripe,Pure White Stripe,Spray Stripe,Magenta Stripe,","Size 10,Size 12,Size 14,Size 16,"
PN8860,"Black/Lemon Chrome,","Size 7,Size 7.5,Size 8,Size 8.5,Size 9,Size 9.5,Size 10,Size 10.5,Size 11,Size 12,"
PN8861,"Dark Gull Grey/Lemon Chrome,","Size 7,Size 7.5,Size 8,Size 8.5,Size 9,Size 9.5,Size 10,Size 10.5,Size 11,Size 12,"
PN8865,"Dusk,Fire/Blue Aster,","22 Litres,"
PN8870,"Black/Carbon,Magenta/Cerise Noire,Stained Glass/Eclipse,","20 Litres,"
PN8871,"Parakeet/White,","25 Litres,"
PN8874,"Jet Black,Molten Lava/Black,","25 Litres,"
PN8877,"Black,","60 Litres,"
PN8881,"Carbon/Black,","Medium,Large,XLarge,"
PN8883,"Moon Mist,Blue Aster,","Waist 30 Leg 30,Wasit 30 Leg 32,Waist 30 Leg 34,Waist 32 Leg 30,Waist 32 Leg 32,Waist 32 Leg 34,Waist 34 Leg 30,Waist 34 Leg 32,Waist 34 Leg 34,Waist 36 Leg 30,Waist 36 Leg 32,Waist 36 Leg 34,Wasit 38 Leg 30,Waist 38 Leg 32,Waist 38 Leg 34,Waist 40 Leg 30,Waist 40 Leg 32,Waist 40 Leg 34,"
PN8885,"Maui Blue,Big Orange,","Size 10,Size 12,Size 14,"
PN8886,"Blue Black,","Size 8 29 Leg,Size 8 31 Leg,Size 8 33 Leg,Size 10 29 Leg,Size 10 31 Leg,Size 10 33 Leg,Size 12 29 Leg,Size 12 31 Leg,Size 12 33 Leg,Size 14 29 Leg,Size 14 31 Leg,Size 14 33 Leg,"
PN90899,"Black,","Size 10,Size 8,Size 12,Size 14,Size 16,"
PN90911,"Jet Black,Eclipse,Rich Olive,","65 Litres,"
PN90912,"Caneel Bay/Blue,Cherry Ripe,Evening Blue,","60 Litres,"
PN90929,"Midnight/Black,Blue/Red,","Medium,Large,XLarge,XXL,"
PN9129,"Twilight Blue,","Small,Medium,Large,XLarge,"
PN20280,"Black,Natural,","Small,Medium,Large,XLarge,"
PN20299,,
